Nyckel,Värde,Notering
antal_hushåll,723,Uppdatera efter verksamhetsberättelse varje år
internet_hastighet,1000/1000,Mbit/s — symmetrisk
basutbud_antal_kanaler,ca 20,Antal kanaler i digitalt basutbud (Telenor)
gratiskanaler,"SVT1, SVT2, TV4, TV6, Barnkanalen, Kunskapskanalen",Kanaler som sänds okodade
support_ownit_vardagar,08-22,
support_ownit_helger,10-19,
support_telenor_vardagar,08-21,
support_telenor_helger,10-19,
ownit_telefon,08-525 073 00,Ownits privatkund-support
ownit_epost,kundservice@ownit.se,
telenor_telefon,020-222 222,Telenors privatkund-support
fiberkonverter_modell,Genexis XG6846B,Omvandlar fibersignal till ethernet
tjänstefördelare_modell,Technicolor 799VAC Xtream,"Router/CATV-modul, distribuerar internet/telefoni/TV"
serviceavtal_partner,Installations Companiet,Reparation av fiberinfrastruktur
mesh_partner,Kjell & Company,"Butiker: Burlöv Center och Emporia"
reparationskostnad_fiber,5 000–15 000 kr,Ungefärlig reparationskostnad vid fiberskada på egen tomt
